category,gene_set,symbol,entrez,ensembl
ce,Ex8,HPSE2,60495,ENSG00000172987
ce,Ex8,OLFML2B,25903,ENSG00000162745
ce,Ex8,MCTP2,55784,ENSG00000140563
ce,Ex8,RASGEF1C,255426,ENSG00000146090
ce,Ex8,GALNT14,79623,ENSG00000158089
ce,Ex8,FRAS1,80144,ENSG00000138759
ce,Ex8,STK32B,55351,ENSG00000152953
ce,Ex8,ZNF804B,219578,ENSG00000182348
ce,Ex8,CRTAC1,55118,ENSG00000095713
ce,Ex8,SPOCK3,50859,ENSG00000196104
ce,Ex8,MGAT5,4249,ENSG00000152127
ce,Ex8,SYNPR,132204,ENSG00000163630
ce,Ex8,KLHL1,57626,ENSG00000150361
ce,Ex8,RNF152,220441,ENSG00000176641
ce,Ex8,GFRA1,2674,ENSG00000151892
ce,Ex8,CTNNA3,29119,ENSG00000183230
ce,Ex8,ITGB8,3696,ENSG00000105855
ce,Ex8,PDLIM5,10611,ENSG00000163110
ce,Ex8,THEMIS,387357,
ce,Ex8,PTPRU,10076,ENSG00000060656
ce,Ex8,PLD5,200150,ENSG00000180287
ce,Ex8,SWAP70,23075,ENSG00000133789
ce,Ex8,TRPC5,7224,ENSG00000072315
ce,Ex8,CREB5,9586,ENSG00000146592
ce,Ex8,TRPM4,54795,ENSG00000130529
ce,Ex8,PRLR,5618,ENSG00000113494
ce,Ex8,ITGA11,22801,ENSG00000137809
ce,Ex8,SFMBT2,57713,ENSG00000198879
ce,Ex8,B3GAT2,135152,ENSG00000112309
ce,Ex8,TESC,54997,ENSG00000088992
ce,Ex8,SNTB1,6641,ENSG00000172164
ce,Ex8,MAMDC2,256691,
ce,Ex8,GAS2L3,283431,ENSG00000139354
ce,Ex8,ATP8B1,5205,ENSG00000081923
ce,Ex8,SYT10,341359,ENSG00000110975
ce,Ex8,CLTCL1,8218,ENSG00000070371
ce,Ex8,TRPC7,57113,ENSG00000069018
ce,Ex8,GNG4,2786,ENSG00000168243
ce,Ex8,MYO10,4651,ENSG00000145555
ce,Ex8,RASSF3,283349,ENSG00000153179
ce,Ex8,RRBP1,6238,ENSG00000125844
ce,Ex8,CDC14A,8556,ENSG00000079335
ce,Ex8,LIMS1,3987,ENSG00000169756
ce,Ex8,COL20A1,57642,ENSG00000101203
ce,Ex8,HGF,3082,ENSG00000019991
ce,Ex8,LTBP1,4052,ENSG00000049323
ce,Ex8,GPR153,387509,ENSG00000158292
ce,Ex8,FAM151B,167555,ENSG00000152380
ce,Ex8,ATP10A,57194,ENSG00000206190
ce,Ex8,ADRA2A,150,ENSG00000150594
ce,Ex8,ANKRD13A,88455,ENSG00000076513
ce,Ex8,CDK18,5129,ENSG00000117266
ce,Ex8,LIMS2,55679,ENSG00000072163
ce,Ex8,NFASC,23114,ENSG00000163531
ce,Ex8,NPTX1,4884,ENSG00000171246
ce,Ex8,PDE1A,5136,ENSG00000115252
ce,Ex8,SATB2,23314,ENSG00000119042
ce,Ex8,SEC14L5,9717,ENSG00000103184
ce,Ex8,SFXN5,94097,ENSG00000144040
ce,In1,CNR1,1268,ENSG00000118432
ce,In1,SDK2,54549,ENSG00000069188
ce,In2,COL21A1,81578,ENSG00000124749
ce,In2,GABRA1,2554,ENSG00000022355
ce,In2,KCNT2,343450,
ce,In2,PPP1R1C,151242,ENSG00000150722
ce,In2,SLC7A11,23657,ENSG00000151012
ce,In2,CCDC141,285025,ENSG00000163492
ce,In2,GPR149,344758,ENSG00000174948
ce,In3,CALN1,83698,ENSG00000183166
ce,In3,CIT,11113,ENSG00000122966
ce,In3,CLDN18,51208,ENSG00000066405
ce,In3,CNTN4,152330,ENSG00000144619
ce,In3,SVEP1,79987,ENSG00000165124
ce,In3,TGFB2,7042,ENSG00000092969
ce,In3,TMEM130,222865,ENSG00000166448
ce,In3,SHISA8,440829,ENSG00000234965
ce,In3,IGFBP5,3488,ENSG00000115461
ce,In3,RYR3,6263,ENSG00000198838
ce,In3,EXPH5,23086,ENSG00000110723
ce,In3,SLC12A7,10723,
ce,In3,KMO,8564,ENSG00000117009
ce,In3,CRIM1,51232,
ce,In3,SLC6A11,6538,ENSG00000132164
ce,In3,EMID1,129080,ENSG00000186998
ce,In3,SYT2,127833,ENSG00000143858
ce,In3,AHRR,57491,ENSG00000063438
ce,In3,SCTR,6344,ENSG00000080293
ce,In4,DAAM2,23500,ENSG00000146122
ce,In4,EGFR,1956,ENSG00000146648
ce,In4,GABRB2,2561,ENSG00000145864
ce,In4,NMBR,4829,ENSG00000135577
ce,In4,SV2C,22987,ENSG00000122012
ce,In4,FREM1,158326,ENSG00000164946
ce,In4,TRPC3,7222,ENSG00000138741
ce,In4,KIT,3815,ENSG00000157404
ce,In4,MYH11,4629,
ce,In4,ADAMTS2,9509,ENSG00000087116
ce,In4,PDGFRA,5156,ENSG00000134853
ce,In5,FCRL4,83417,ENSG00000163518
ce,In5,GAL3ST1,9514,ENSG00000128242
ce,In5,HHIP,64399,ENSG00000164161
ce,In5,MTUS2,23281,ENSG00000132938
ce,In5,SLC2A13,114134,ENSG00000151229
ce,In5,PDGFD,80310,ENSG00000170962
ce,In5,TOX,9760,ENSG00000198846
ce,In5,FREM2,341640,ENSG00000150893
ce,In5,HCRTR2,3062,ENSG00000137252
ce,In5,MYB,4602,ENSG00000118513
ce,In5,TXK,7294,ENSG00000074966
ce,In6,C4BPA,722,ENSG00000123838
ce,In6,NXPH1,30010,ENSG00000122584
ce,In6,PVALB,5816,
ce,In6,RPH3AL,9501,
ce,In6,ZNF703,80139,ENSG00000183779
ce,In6,LRRC38,126755,ENSG00000162494
ce,In7,CKMT1B,1159,ENSG00000237289
ce,In7,DPYSL5,56896,ENSG00000157851
ce,In7,HS6ST2,90161,ENSG00000171004
ce,In7,KIAA1324,,
ce,In7,NRXN3,9369,ENSG00000021645
ce,In7,RRP7B,,
ce,In7,VWDE,221806,ENSG00000146530
ce,In7,STK32B,55351,ENSG00000152953
ce,In7,HPGD,3248,ENSG00000164120
ce,In7,DSP,1832,ENSG00000096696
ce,In7,PLD1,5337,ENSG00000075651
ce,In7,COL24A1,255631,ENSG00000171502
ce,In7,AOX1,316,ENSG00000138356
ce,In8,CTTNBP2,83992,ENSG00000077063
ce,In8,TMCO4,255104,ENSG00000162542
ce,In8,TNR,7143,ENSG00000116147
