,Axon,Spine,Dendrite,Myelin
rh_G_precuneus_thickness,0.060037542172463335,-0.119455815493871,-0.07422363539958331,-0.11191957390938577
rh_G_rectus_thickness,-0.08548992777272883,0.32447156721247,0.18050294594486638,-0.17915561613267003
rh_G_subcallosal_thickness,-0.8017695743191852,-0.07683109424366094,-0.27910707426314524,-0.47559632566144744
rh_G_temp_sup-G_T_transv_thickness,0.07807712438734285,-0.05548584835073721,0.04094562449750362,0.007964467724806634
rh_G_temp_sup-Lateral_thickness,0.09617571648105326,0.11234467889809278,0.10089051335665614,-0.1902806245997135
rh_G_temp_sup-Plan_polar_thickness,-0.20196690865775266,0.4298640472739643,0.30213893375934386,-0.06950635505385556
rh_G_temp_sup-Plan_tempo_thickness,-0.06746965200409236,-0.20300232747245955,-0.10350506345506136,-0.02494047938635441
rh_G_temporal_inf_thickness,-0.0536469286324765,0.2730884715252066,0.17331347767746566,-0.0641401311706127
rh_G_temporal_middle_thickness,-0.0232571254328595,0.11791885104028156,0.06864630871152062,-0.06078707192446556
rh_Lat_Fis-ant-Horizont_thickness,-0.3240671162456578,-0.5857113000700485,-0.5523993525253447,-0.22562158282810155
rh_Lat_Fis-ant-Vertical_thickness,-0.2040744718815541,-0.15723678609564878,-0.11676431548995342,-0.1276390102260823
rh_Lat_Fis-post_thickness,0.06595958517339291,-0.0589927311267213,0.1425098257416833,0.25010890233118016
rh_Pole_occipital_thickness,-0.017956351280943098,-0.29949129383783135,-0.22036333376173645,-0.10536034549242246
rh_Pole_temporal_thickness,-0.20447823675386936,0.44811602515089316,0.21485657731424856,-0.11925012056053985
rh_S_calcarine_thickness,-0.2737300302247746,-0.4026380020765512,-0.311625837440593,-0.3448401363829148
rh_S_central_thickness,-0.06469928471417963,-0.7035690856602884,-0.44707620506233814,0.09783488638926004
rh_S_cingul-Marginalis_thickness,-0.026615587875985437,-0.00011788624488742924,0.08780452369272024,0.028038694309880638
rh_S_circular_insula_ant_thickness,0.076406072920693,0.0580746500858335,0.14118964694174702,0.03646794924839886
rh_S_circular_insula_inf_thickness,-0.3425346324481163,0.06601311176703781,0.025367303673828247,-0.16941996147688418
rh_S_circular_insula_sup_thickness,-0.3997104283729373,0.14537811013230725,0.035573772076655,-0.054678598358858216
rh_S_collat_transv_ant_thickness,-0.11237851530084692,0.4512886831945998,0.23825221615865635,-0.07682158401580443
rh_S_collat_transv_post_thickness,,,,
rh_S_front_inf_thickness,0.28775943907744633,-0.07987269662819518,-0.02585530031475073,0.12096342076865325
rh_S_front_middle_thickness,-0.08499806278476606,0.14479516457145428,0.20441636052268686,0.18784177823467244
rh_S_front_sup_thickness,0.09478517253130612,0.06819163560679647,0.031183424397326076,0.11133367003493531
rh_S_interm_prim-Jensen_thickness,-0.08269816620355365,-0.012243704758280748,-0.07053032416391379,-0.0014599740336188616
rh_S_intrapariet&P_trans_thickness,0.37743838962654375,0.07469273181403194,0.07736126038464083,0.1577068828459409
rh_S_oc_middle&Lunatus_thickness,-0.21663807710958968,-0.32333306718988236,-0.24160251015541157,-0.15064787437769928
rh_S_oc_sup&transversal_thickness,0.21780362835937042,-0.11347258176683535,-0.0247401113333997,0.12065960061831167
rh_S_occipital_ant_thickness,0.07077309368097931,-0.05681758675952197,-0.047589997520846264,0.010738088908643023
rh_S_oc-temp_lat_thickness,-0.04151024409388272,0.15978739456686575,0.1011361243406805,-0.21426858361188605
rh_S_oc-temp_med&Lingual_thickness,-0.20501783857364123,0.0999057790679123,0.02148822003498695,-0.3928737786591871
rh_S_orbital_lateral_thickness,-0.04754625892704478,0.11283005585019593,0.038017576517732625,0.06019712142006247
rh_S_orbital_med-olfact_thickness,-0.19205099857160068,0.30674171608362266,0.15740984741530925,-0.12463230768118698
rh_S_orbital-H_Shaped_thickness,-0.03321905473120972,0.03399392483886089,0.07089316818236373,0.09054807179302499
rh_S_parieto_occipital_thickness,-0.4603312266486291,-0.5089393263269962,-0.4675033402165874,-0.1845691175067159
rh_S_pericallosal_thickness,-0.3810449672771487,-0.1574512723013132,-0.24537391294152583,-0.1891899495210847
rh_S_postcentral_thickness,0.170809988305065,-0.1870442193122944,-0.09760290253711636,0.09806019881765922
rh_S_precentral-inf-part_thickness,0.4113312701171235,-0.008450238140053704,0.0275384815966637,0.3164732423941933
rh_S_precentral-sup-part_thickness,0.5968253308608403,0.08582209555613844,0.12504970094348183,0.29145139849960067
rh_S_suborbital_thickness,-0.10528811599904743,0.4729709900399295,0.255153859454915,0.1817273831806915
rh_S_subparietal_thickness,-0.14588824446080584,-0.09584585202767801,-0.08954019775633179,-0.11023005486909603
rh_S_temporal_inf_thickness,-0.09730361579710022,0.3125346386031226,0.1400853166396748,-0.09145661414413221
rh_S_temporal_sup_thickness,-0.11139230000067518,-0.007783780261450741,-0.012159555384327806,-0.06983292798694085
rh_S_temporal_transverse_thickness,-0.37027423843243884,-0.3983220639117162,-0.27131392783043173,-0.2764145390596899
