,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1,mr1-myelin
lh_bankssts,-0.1534119314971307,-0.018597498752923672,0.3472538030328649,0.0805345541618225,-0.43330596336022337,-0.2624606212283289,-0.5497429137464126,-1.147899735213152,-0.5209816465488415,-0.3507359402744747,0.29346107492765316,0.2769854913316433,-0.5442528757511249,-1.1395353582306074,-0.9509558818313758,-0.4323610819214665,0.16892949953180403,1.0503884512401722,-0.5731319591108918,0.8320069334329543,-0.13374455119047612
lh_caudalanteriorcingulate,0.0965570622151129,-0.38212058321173464,0.7679098612016476,0.1453919786800139,0.9768895835977599,-0.7236413948421229,-0.7857559909326037,1.0133762849538042,0.5935544785349078,0.6622778578380223,1.0970124948851818,0.4316706594630682,0.3013929717973191,2.112832887658518,0.5993139710358835,1.6479596812348283,-0.9593177141802288,-1.0198060353522573,-0.07403588598249373,0.3875726949243415,-1.3225172925373152
lh_caudalmiddlefrontal,-0.5751034777577096,-0.7716567028276153,-0.3187545857007335,1.1098176585532817,0.04305984651468902,0.43688032624284195,-0.3661288226160592,-0.292496543452578,0.053869040882451966,-0.5572103111954879,0.05869206205803749,0.2690630271827628,-0.30378236059884406,-0.11631371173111388,0.9851626640585984,0.2671095669448888,-0.4002005844550596,-0.3634861645944322,0.2849412576995923,0.27875031630039143,-0.3207765406465511
lh_cuneus,0.7232280090492489,-0.12870405789604913,-0.3437174325877649,-0.2043235942229332,0.04934544224492426,1.1183451382292067,2.8838049659062674,-0.5526890762061882,1.1798476262815543,-0.9284888006083861,-1.467185260693452,-0.28224184956141346,-1.4054270897121046,-1.0719921144610656,-0.026915239232222707,-0.9315946835340281,1.1245764589516496,0.07361331520850556,0.4731276701421668,-1.158402784600709,1.2878142725490203
lh_entorhinal,-2.5225296750871666,0.05451236860158026,-0.34346696370547747,-2.9569611520495838,-1.9876618312449397,-2.0743718738390338,-0.9679979503077609,1.1040623120548263,-2.3490076275562375,2.5712484037887977,0.7212682337943521,0.6208651937373201,2.8166924722565754,0.82451618928789,-2.211010651084784,-0.1399013516214644,-0.11003102255368079,-3.127869129631996,-0.4722168249106999,0.10567022627644225,-0.06545695937499987
lh_fusiform,-0.16436327804863043,0.4557466579599613,0.23642969231481933,-0.8356299230126712,-0.86384407815207,-0.7221813725905843,-0.13722658366954554,-0.2999434059979186,-0.6686646294608644,1.108373989388998,0.10797972595577221,-0.18497890343373066,-0.07455728724292299,-0.21966865247500422,-1.0767988658069645,-0.9981705412270487,0.7644644022578154,0.41591495138556334,-0.7638416263518795,1.0330600516519488,-0.09960023311688318
lh_inferiorparietal,0.24579374149445932,-0.429486275143477,-0.4866407764329614,0.42793957502000435,-0.33922127669805285,-0.08230236233015222,-0.07818484182806688,-0.7620200681208498,-0.20788788709482306,-0.41269047958620103,-0.11921102245429115,-0.11288817333978515,-0.5590970709341937,-0.6670826214838899,-0.1635739129463009,-0.7601169625180075,-0.15539567674381935,0.4808974751995431,-0.04739053083320762,0.22545556954395155,0.012603410557851254
lh_inferiortemporal,0.08622741940901715,0.9096649013090939,0.4823821916404921,-0.47650967701876,-0.8646849767871454,-1.2453467585563043,-0.6831175556881383,-0.851822115608715,-1.0923801230468135,-0.02330963048590182,0.7809774439442437,-0.4380848946515586,0.3731193587519343,0.3981155161327592,-1.3682325210643076,-0.35436298529907795,0.08798844513900528,0.4690502217545972,-0.8826905401998635,0.9869670531909543,-0.7383986209963079
lh_isthmuscingulate,-0.9304137731451323,-0.514800537210994,-0.13267069749240964,-0.9133104888320069,-0.8095375893402033,0.4353945423504101,0.051607547687627243,-0.42972801838619723,1.0717572347280069,0.6625183209737691,-0.05595667080543507,-0.30686118840905857,-0.3428414191595085,0.6866583665260342,0.05227863622638514,-0.055284900431444545,0.2474267949727894,-0.5692204254314455,-0.38735798435236957,-0.8339152340663691,0.6622148952357719
lh_lateraloccipital,0.05748352441672115,-0.920910192549477,-1.1960847612627572,-0.23069218133749025,-0.5327356094514718,-0.40584760552472005,1.7166619661740263,-0.339608711013868,-0.07376249969749378,-0.9282286997980652,-1.5743148282976571,-0.2860617329840153,-0.8603782346791229,-0.6896702322493128,-0.15745914577601366,-0.7960049211580771,0.9800717111091124,-0.13777515228070966,0.3764572305585076,-0.8873753333274398,0.9203552595177644
lh_lateralorbitofrontal,-0.41153620783834155,0.8877347035820465,0.5482636038241803,0.5718211886090502,-0.4514618860831848,-0.3485967267708231,-0.47248562641359093,0.6686679583895009,0.11413312250572151,0.9995128185698952,0.7427070439315547,-0.24897436510107085,0.10811320956592396,0.30764220200220715,0.3175778811662243,0.5097156190088863,-0.3845010565006854,0.8226795964430895,0.7516042081270301,-0.06672971713050284,-0.6742577296850377
