,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO
eigenvalues,5.354676237580388,4.0206654030994375,4.019465190268713,2.814069903934955,1.8711079330446911,1.7982851215826585,1.7750839829594782,1.2017461183756275,1.0697073319341075,0.6219692579605074
prop_variance,0.19832134213260696,0.14891353344812733,0.14886908112106345,0.10422481125685018,0.06930029381647004,0.06660315265120957,0.06574385122072142,0.04450911549539361,0.03961879007163361,0.023035898442981755
cum_variance,0.19832134213260696,0.3472348755807343,0.49610395670179774,0.600328767958648,0.669629061775118,0.7362322144263276,0.801976065647049,0.8464851811424426,0.8861039712140762,0.909139869657058
