,ni1-5HT1a,ni2-5HT1b,ni3-5HT2a,ni4-5HT4,ni5-5HT6,ni6-5HTT,ni7-A4B2,ni8-CB1,ni9-CBF,ni10-CMRglu,ni11-COX1,ni12-D1,ni13-D2,ni14-DAT,ni15-FDOPA,ni16-GABAa,ni17-GI,ni18-H3,ni19-HDAC,ni20-M1,ni21-mGluR5,ni22-MU,ni23-NET,ni24-NMDA,ni25-SV2A,ni26-TSPO,ni27-VAChT,ce1-Ex1,ce2-Ex2,ce3-Ex3,ce4-Ex4,ce5-Ex5,ce6-Ex6,ce7-Ex7,ce8-Ex8,ce9-In1,ce10-In2,ce11-In3,ce12-In4,ce13-In5,ce14-In6,ce15-In7,ce16-In8,ce17-Astro,ce18-Endo,ce19-Micro,ce20-OPC,ce21-Oligo,mr1-myelin
lh_bankssts,-0.014571545379502433,-0.6538082346586245,-0.14515219557852968,0.09206510737301811,0.4630421113873285,-0.4530061466826333,-0.5467551828376831,-0.15922361352140937,-0.7215810418128967,-0.38629664953738924,-0.254915852690973,-0.03976652558360781,0.5163936756906056,-0.0285123030817698,0.4772336570516465,-0.5698619547580915,-0.29500538063427756,-0.7814068543532539,-0.5973920715706689,-0.16246783449536278,0.04429614898704347,0.1707284767476339,-0.505978609775267,0.14898603581010347,-0.39878625316279276,-0.1905661705467436,-0.08980464675123728,0.37114965326319077,-0.216592554092447,-0.22446520482611845,0.05415955116141214,0.17354340781752073,-0.36951179537340506,0.061319826636440256,-0.16971102940403357,-0.07622819030885317,-0.29209078522184145,-0.17949489790409134,-0.2890581513331289,0.29936186855910374,-0.46519363608669473,0.11536143040826183,-0.005555790814228232,-0.2569084632926666,0.05339482338778418,-0.3812361124016615,-0.3100966767250055,0.4405868807412258,-0.13374455119047612
lh_caudalanteriorcingulate,-0.42771691973529646,0.25674985504862086,-0.4358863770516951,-0.5399060596281023,-0.2478829727355224,-0.23164557721187817,0.5615992546081543,0.6113828011413118,-0.1921901266966293,-0.7399093446446888,-0.33348670290477234,0.5194159132331165,-0.2796751400872843,0.3729654915297209,1.1543631322348296,0.28123511574161586,-0.07254881901082708,1.525219481382797,-0.2468550442926475,-0.23287700772730277,0.6779830687081636,1.1320235800387255,0.21030809385563012,-0.25228247824889516,0.34369829519471123,0.7974172385770883,1.9507099318860182,0.12077268755812462,0.38335126125857677,-0.6519367315824532,0.4073735287332902,0.4808833199643635,0.8342905136582743,0.5693545394919471,0.3262438065412808,1.6938518401439235,0.47213706709483055,0.511092062443384,0.12574606623944673,-0.3316040695196379,0.32540013228805387,-0.14176431937062037,0.12334104398091518,1.000568532529908,0.21136165207380916,0.06096668040429791,0.3571725438459474,0.03542563018632905,-1.3225172925373152
lh_caudalmiddlefrontal,-0.6996608764447015,0.6899809022755201,-0.6191887048811748,-0.7836152805850424,0.12343164501262122,-0.8516962393989851,0.6646029510503185,-0.12946538623936218,0.4201469466347119,0.9111959481419161,-0.4319527591096944,-0.4951994047211162,-0.6518853229695353,-0.5740912857882935,-0.14301513597883028,-0.8526631377894303,1.7953903718755162,-0.1688514835490235,0.40977954594739546,-0.7543690096715401,-0.07496665161231468,0.6181418309951651,-0.0569193361262823,0.07296043647260501,-1.2599539736221577,-0.5688441015523056,-0.08933521813616671,-0.0750265133920092,0.4246914983513253,0.011032188462192415,-0.01049278511834764,0.11035298343673446,-0.13222483412961505,0.1496781731731822,0.07879912632284265,0.22779359835426563,-0.14786591901433227,-0.06176904722876791,0.0953630410949885,-0.2012455065918112,0.406760974959857,-0.10367303658728805,-0.19676674523749427,0.015650986918922357,0.04854268223941663,-0.025201294703001118,-0.013225438731173832,0.04739608745512253,-0.3207765406465511
lh_cuneus,-0.933813657246384,1.1986078506006914,0.06798015228089163,-0.44167599801485447,0.8461570209805288,0.1836145061488245,-0.6791527712461995,-1.1286429020704007,1.121584002585972,0.9729403228152032,3.0759054165260467,-0.03703161014937884,-0.8502832072622636,-0.36535492831585453,-0.30253350851582544,1.8276748465848904,-0.5484909076316683,-0.2776509028877698,0.8361724607792556,0.9960140784581503,0.10786427480771262,-1.8113517901476692,0.3718939683600968,-0.06337261053861354,0.728314110753583,-0.581185140153941,-1.1801015080190171,-0.684058661049962,-0.021532864768276736,1.220324691562657,-0.458166682445012,-0.49362349021053503,-0.3331154749093145,-0.6492321306851061,-0.3513464104851616,-1.473976277412379,-0.25778709159492535,-0.21092249828236576,0.16144420101104387,-0.06436577061258944,-0.27295073046656365,0.17155988029689437,-0.017614391561064483,-0.7036628939039088,-0.15867300475473367,-0.9155413845952317,-0.7123669885289251,0.04823240729253726,1.2878142725490203
lh_entorhinal,1.7019068598747253,-2.6467418298125267,-0.7667616680264473,0.5195550294592977,-2.891118086874485,1.6814555376768112,-1.8681053519248962,-0.7345426604151725,-1.6862049847841263,-2.473660245537758,-0.9278431013226509,-1.4192332765087483,0.6184333087876439,0.53584601636976,0.7150759175419807,-2.30654339492321,-1.0344043113291264,-0.8964381404221058,-2.6537886038422585,-2.1680180025286973,-2.3708738833665848,-0.40342188253998756,-1.964024044573307,-3.1161373890936375,-1.8328526075929403,0.9845081008970737,-0.9643186926841736,0.2884308886253734,-0.6210114945682813,-1.217134915140266,-0.20422760952608474,-0.45574391654810714,0.8098210367626711,0.6902266601607323,-0.04664644851002595,0.859444491003856,0.28555047404871664,0.02503946305770131,-0.3135667289098556,-0.8048949769795981,-0.7914001743896657,0.05232744921760175,0.01618085923320975,1.0636246505568285,0.25199460033786764,1.4230043866274071,0.9797165431007788,-0.11433052989552689,-0.06545695937499987
lh_fusiform,0.8116025707938455,-1.1854409646097717,0.6227560627770115,0.7402443873708124,-0.16792475129780057,0.34873789519845666,-0.6211278573549414,0.13955505279364525,-0.8442475266464344,-0.8110412944156629,0.07629278447333868,0.2441647939577505,0.5688812029729415,0.3400609717256837,0.4875770395065283,-0.41642282346819903,-0.8833997810815836,-0.7884618122275774,-0.6898852954437207,-0.31483012510391023,-0.43705165522269807,-0.3906553339019611,-0.6488745286093129,-0.2955996163382933,0.28270756429085486,0.7937191031849036,-0.9281544940812247,0.63410944873384,-0.5080259834330776,-0.08779937156983189,0.019815743955696,-0.1384807600868299,-0.32582062331671346,0.08643445680009508,-0.32102488957465153,-0.041157555676028926,-0.10052197799434988,0.08623472930353712,-0.12932063045993664,0.15296050402807065,-0.41073371413690907,0.2450514645178772,-0.05736022997315914,-0.1512623584585258,-0.10316657263630863,-0.24237972902490942,-0.19960126432656072,-0.08374907211957326,-0.09960023311688318
lh_inferiorparietal,-0.5298225032396553,0.006895471826072572,-0.4417212924127244,-0.31953947707791314,0.557071660976272,-0.7655100829221986,0.3538002889942039,0.09810580029960504,-0.4246052824545744,0.2556567027056513,-0.03405619215620451,-0.5299818160489571,0.06842443876522632,-0.652517368108773,-0.5427126603832176,-0.35439488107015277,0.5917715862516529,-0.5460678713996548,-0.019062717591435456,0.4458484501878092,0.023410175857711428,-0.1579909655919745,0.09899535244099858,-0.08517907917006942,0.19959735476281032,-0.5565076609380728,-0.5845529707995328,0.07498330279427878,0.0034448213763455834,0.1547250331470407,0.025586694057353403,-0.11659742889157393,-0.4492204089920144,-0.02572269649252488,-0.2312692904839949,-0.6232544353369222,-0.10320321314526516,-0.14010784952401614,0.057525016675826594,0.14529233268121688,-0.21031894369848544,-0.03998670125639291,-0.15412677259566154,-0.27965593267367933,-0.13674149292878843,-0.3708081870026419,-0.2724845704288909,0.023932720668514196,0.012603410557851254
lh_inferiortemporal,1.19230455753988,-0.9049652541860443,1.030924971115765,1.3070571392884553,0.4872944021934293,-0.11717107096116482,-1.0285737919191593,0.24093577122776272,-1.2757923642647662,-0.9730288988989657,-0.4707875968441642,0.07175397806941802,1.3091717225008015,0.04785281298785192,0.6998553311252946,-0.8765243562385165,-0.06163148807423581,-1.0459179917824664,-0.23399636270375268,0.08939749557813595,-0.2333404715980551,0.4004379430806395,-0.7943948182892535,0.0473619787043091,0.014421949541106874,0.13653882870594955,-0.7462021279598954,0.6896469885094035,-0.5272157861670999,-0.49437876439904543,0.3624763387772115,0.2755433175561263,-0.14937457083749647,0.2385452536512654,-0.14102959108863433,0.2680066834902435,0.02954475596618982,0.28425339102588554,-0.3650162242188281,0.1273056806606211,-0.5308343997966664,0.1500027805528188,0.030067320220492546,0.24659042597816802,-0.16325403422901125,0.015280986673383741,0.05615076471575476,-0.24004544895039112,-0.7383986209963079
lh_isthmuscingulate,-0.7281379711821796,-0.6882929006000844,-0.29973099650285107,-0.4623865699774124,-1.023948174666583,-0.08786490910906132,-1.4515214615721044,-1.266322447153611,0.25264665484428406,0.2763996003119926,0.009214558615917138,0.2759162955652408,-1.1444418931879647,0.0391279883622154,0.09212232266015154,0.4824626852826374,0.23514766591351213,-0.5829575755974141,-0.7542177152827503,-0.704440631093533,-0.45275933180398087,-0.8318014706568262,-1.168638591117006,-0.4555804249716968,-0.5446368023607411,0.42989619851596955,-0.3151622579349735,-0.3719229374739521,0.06081464231404487,0.1801696243592409,0.029100610445005247,-0.0068794191283963815,0.31916445655044673,0.008247372699817932,-0.15184637358453276,0.05672400268585467,0.15537027840535386,0.2832833363265438,0.11171144789870775,-0.27227821054469425,-0.07087331779979203,-0.06748884327071351,-0.25425730369217225,-0.06652271308815559,-0.15109643648131865,-0.26007736218035926,-0.20293486735693178,-0.2198405266238097,0.6622148952357719
lh_lateraloccipital,-1.0048569198792356,0.43347188119355795,-0.7615784980205412,-0.9406634674816473,0.19058192527006726,-0.7633688204028279,-0.21886404414618682,-0.5251191960373506,-0.5500939138952246,0.08875968893469893,1.5347284699133055,-1.1558937660328628,-0.6268046757461607,-0.6984331361609062,-0.877157942670856,0.07712293556196435,-0.0099995644942758,-0.8281191203194826,0.5635459205220799,0.4122062171171159,-1.0386558307457696,-1.5522716646342714,0.24052738248923708,-0.6201341728571103,0.14288543323574937,-1.3034640043066237,-1.0476903300448723,-0.4740391710749241,-0.15487237241846868,1.1175932730154525,-0.5266317900067421,-0.5740484848067446,-0.29278842615234313,-0.7240953246566314,-0.20980944361577547,-1.5645194548765071,-0.2501451358195609,-0.1677350502568418,0.33793326105865595,-0.031224057502204708,-0.23716427335496387,0.26712879482792273,0.12011749547093518,-0.4241263606815662,-0.08268824387180697,-0.5634801861493554,-0.4641783259290131,-0.12708116083554952,0.9203552595177644
